Tarih,Saat,Ihlal_Turu
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:40,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:40,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:41,YORGUNLUK (UYUMA)
2025-12-14,06:27:41,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:42,YORGUNLUK (UYUMA)
2025-12-14,06:27:42,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:42,YORGUNLUK (UYUMA)
2025-12-14,06:27:42,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:43,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:43,YORGUNLUK (UYUMA)
2025-12-14,06:27:43,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:43,YORGUNLUK (UYUMA)
2025-12-14,06:27:43,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:43,YORGUNLUK (UYUMA)
2025-12-14,06:27:43,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:43,YORGUNLUK (UYUMA)
2025-12-14,06:27:43,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:43,YORGUNLUK (UYUMA)
2025-12-14,06:27:43,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:43,YORGUNLUK (UYUMA)
2025-12-14,06:27:43,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:43,YORGUNLUK (UYUMA)
2025-12-14,06:27:43,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:43,YORGUNLUK (UYUMA)
2025-12-14,06:27:43,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:43,YORGUNLUK (UYUMA)
2025-12-14,06:27:43,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:43,YORGUNLUK (UYUMA)
2025-12-14,06:27:43,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:43,YORGUNLUK (UYUMA)
2025-12-14,06:27:44,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:44,YORGUNLUK (UYUMA)
2025-12-14,06:27:44,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:44,YORGUNLUK (UYUMA)
2025-12-14,06:27:44,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:44,YORGUNLUK (UYUMA)
2025-12-14,06:27:44,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:44,YORGUNLUK (UYUMA)
2025-12-14,06:27:44,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:44,YORGUNLUK (UYUMA)
2025-12-14,06:27:44,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:44,YORGUNLUK (UYUMA)
2025-12-14,06:27:44,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:44,YORGUNLUK (UYUMA)
2025-12-14,06:27:44,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:44,YORGUNLUK (UYUMA)
2025-12-14,06:27:44,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:44,YORGUNLUK (UYUMA)
2025-12-14,06:27:44,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:44,YORGUNLUK (UYUMA)
2025-12-14,06:27:44,DIKKAT DAGINIKLIGI (TELEFON)
